"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"VS","VIR","VS250","VIR250","250","LHR","EGLL","3","2023-06-07 13:45","PVG","ZSPD",NA,760
"AC","ACA","AC6913","ACA6913","6913","LHR","EGLL","2","2023-06-07 13:50","ORK","EICK",NA,80
"IB","IBE","IB7433","IBE7433","7433","LHR","EGLL","5","2023-06-07 13:50","SAN","KSAN",NA,675
"AY","FIN","AY556","FIN556","556","LHR","EGLL","5","2023-06-07 13:50","FCO","LIRF",NA,160
"AF","AFR","AF3587","AFR3587","3587","LHR","EGLL","3","2023-06-07 13:55","ATL","KATL",NA,575
"SL","SZS","SL532","SZS532","532","LHR","EGLL","2","2023-06-07 13:55","ARN","ESSA",NA,150
"QF","QFA","QF3517","QFA3517","3517","LHR","EGLL","3","2023-06-07 14:00","MRS","LFML",NA,110
"AA","AAL","AA6627","AAL6627","6627","LHR","EGLL","5","2023-06-07 14:00","MAN","EGCC",NA,65
"AA","AAL","AA6530","AAL6530","6530","LHR","EGLL","3","2023-06-07 14:00","BAH","OBBI",NA,385
"LX","SWR","LX3048","SWR3048","3048","LHR","EGLL","2","2023-06-07 12:20","SFO","KSFO",100,660
"BA","BAW","BA874","BAW874","874","LHR","EGLL","3","2023-06-07 14:00","BUD","LHBP",NA,150
"LY","ELY","LY8088","ELY8088","8088","LHR","EGLL","3","2023-06-07 14:05","DFW","KDFW",NA,610
"ME","MEA","ME4507","MEA4507","4507","LHR","EGLL","2","2023-06-07 14:05","YUL","CYUL",NA,430
"IB","IBE","IB7445","IBE7445","7445","LHR","EGLL","5","2023-06-07 14:05","SFO","KSFO",NA,665
"IB","IBE","IB7427","IBE7427","7427","LHR","EGLL","5","2023-06-07 14:05","RUH","OERK",NA,400
"UA","UAL","UA939","UAL939","939","LHR","EGLL","2","2023-06-07 14:10","SFO","KSFO",NA,655
"OS","AUA","OS8383","AUA8383","8383","LHR","EGLL","2","2023-06-07 14:10","YVR","CYVR",NA,575
"AA","AAL","AA6806","AAL6806","6806","LHR","EGLL","5","2023-06-07 14:10","MAD","LEMD",NA,145
"AY","FIN","AY4087","FIN4087","4087","LHR","EGLL","3","2023-06-07 14:10","SEA","KSEA",NA,600
"VS","VIR","VS8009","VIR8009","8009","LHR","EGLL","4","2023-06-07 14:10","YYC","CYYC",NA,525
"AA","AAL","AA6639","AAL6639","6639","LHR","EGLL","5","2023-06-07 14:15","EDI","EGPH",NA,85
"AA","AAL","AA6646","AAL6646","6646","LHR","EGLL","5","2023-06-07 14:15","NAP","LIRN",NA,170
"AA","AAL","AA6655","AAL6655","6655","LHR","EGLL","5","2023-06-07 14:15","BLR","VOBL",NA,600
"BA","BAW","BA7810","BAW7810","7810","LHR","EGLL","2","2023-06-07 14:15","IOM","EGNS",NA,85
"AA","AAL","AA8043","AAL8043","8043","LHR","EGLL","2","2023-06-07 14:20","DUB","EIDW",NA,85
"QF","QFA","QF8002","QFA8002","8002","LHR","EGLL","3","2023-06-07 14:20","DXB","OMDB",NA,420
"LX","SWR","LX355","SWR355","355","LHR","EGLL","2","2023-06-07 14:25","GVA","LSGG",NA,100
"LY","ELY","LY8048","ELY8048","8048","LHR","EGLL","3","2023-06-07 14:25","ORD","KORD",NA,510
"BA","BAW","BA354","BAW354","354","LHR","EGLL","5","2023-06-07 14:25","NCE","LFMN",NA,125
"AA","AAL","AA6727","AAL6727","6727","LHR","EGLL","5","2023-06-07 14:20","VCE","LIPZ",6,130
"LA","LAN","LA5494","LAN5494","5494","LHR","EGLL","5","2023-06-07 14:30","NCL","EGNT",NA,75
"QF","QFA","QF3507","QFA3507","3507","LHR","EGLL","5","2023-06-07 14:30","TLS","LFBO",NA,110
"BA","BAW","BA432","BAW432","432","LHR","EGLL","5","2023-06-07 14:30","AMS","EHAM",NA,80
"AY","FIN","AY5917","FIN5917","5917","LHR","EGLL","5","2023-06-07 14:35","BCN","LEBL",NA,125
"AY","FIN","AY5515","FIN5515","5515","LHR","EGLL","5","2023-06-07 14:35","JFK","KJFK",NA,475
"BA","BAW","BA197","BAW197","197","LHR","EGLL","5","2023-06-07 14:35","IAH","KIAH",NA,615
"AC","ACA","AC6946","ACA6946","6946","LHR","EGLL","2","2023-06-07 14:35","STR","EDDS",NA,95
"AA","AAL","AA6643","AAL6643","6643","LHR","EGLL","3","2023-06-07 14:40","VIE","LOWW",NA,145
"GF","GFA","GF6744","GFA6744","6744","LHR","EGLL","3","2023-06-07 14:40","MIA","KMIA",NA,566
"KL","KLM","KL4822","KLM4822","4822","LHR","EGLL","3","2023-06-07 14:40","JFK","KJFK",NA,485
"BA","BAW","BA289","BAW289","289","LHR","EGLL","5","2023-06-07 14:40","PHX","KPHX",NA,650
"AY","FIN","AY5413","FIN5413","5413","LHR","EGLL","5","2023-06-07 14:40","BOS","KBOS",NA,440
"GA","GIA","GA9079","GIA9079","9079","LHR","EGLL","4","2023-06-07 14:45","AMS","EHAM",NA,75
"EW","EWG","EW465","EWG465","465","LHR","EGLL","2","2023-06-07 14:45","CGN","EDDK",NA,80
"AC","ACA","AC6919","ACA6919","6919","LHR","EGLL","2","2023-06-07 14:45","SNN","EINN",NA,85
"LH","DLH","LH5339","DLH5339","5339","LHR","EGLL","2","2023-06-07 14:50","HAM","EDDH",NA,90
"UA","UAL","UA263","UAL263","263","LHR","EGLL","2","2023-06-07 14:50","DEN","KDEN",NA,580
"XY","KNE","XY3020","KNE3020","3020","LHR","EGLL","4","2023-06-07 14:50","AUH","OMAA",NA,410
"RO","ROT","RO392","ROT392","392","LHR","EGLL","4","2023-06-07 14:50","OTP","LROP",NA,200
