"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"AA","AAL","AA6520","AAL6520",6520,"LHR","EGLL","5","2023-06-05 15:40","MXP","LIMC",120
"DL","DAL","DL5922","DAL5922",5922,"LHR","EGLL","3","2023-06-05 16:25","JFK","KJFK",465
"BA","BAW","BA606","BAW606",606,"LHR","EGLL","5","2023-06-05 16:30","PSA","LIRP",135
"AF","AFR","AF9925","AFR9925",9925,"LHR","EGLL","3","2023-06-05 16:30","LAS","KLAS",640
"LH","DLH","LH911","DLH911",911,"LHR","EGLL","2","2023-06-05 16:30","FRA","EDDF",95
"BA","BAW","BA398","BAW398",398,"LHR","EGLL","5","2023-06-05 16:30","BRU","EBBR",70
"AF","AFR","AF9094","AFR9094",9094,"LHR","EGLL","3","2023-06-05 16:20","LAX","KLAX",695
"BA","BAW","BA608","BAW608",608,"LHR","EGLL","3","2023-06-05 16:40","OLB","LIEO",160
"AA","AAL","AA6526","AAL6526",6526,"LHR","EGLL","5","2023-06-05 16:35","VCE","LIPZ",130
"BA","BAW","BA954","BAW954",954,"LHR","EGLL","5","2023-06-05 16:35","MUC","EDDM",125
"AC","ACA","AC6038","ACA6038",6038,"LHR","EGLL","2","2023-06-05 16:35","ATH","LGAV",215
"OS","AUA","OS7807","AUA7807",7807,"LHR","EGLL","2","2023-06-05 16:40","IAD","KIAD",505
"PK","PIA","PK5986","PIA5986",5986,"LHR","EGLL","2","2023-06-05 16:40","IST","LTFM",230
"IB","IBE","IB7384","IBE7384",7384,"LHR","EGLL","5","2023-06-05 16:45","EWR","KEWR",465
