"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"UA","UAL","UA941","UAL941","941","LHR","EGLL","2","2023-06-06 16:00","EWR","KEWR",490
"QR","QTR","QR6273","QTR6273","6273","LHR","EGLL","5","2023-06-06 16:00","EDI","EGPH",85
"QR","QTR","QR8","QTR8","8","LHR","EGLL","4","2023-06-06 16:00","DOH","OTHH",405
"BA","BAW","BA121","BAW121","121","LHR","EGLL","5","2023-06-06 16:05","CVG","KCVG",520
"AA","AAL","AA6459","AAL6459","6459","LHR","EGLL","5","2023-06-06 16:05","AMS","EHAM",80
"VS","VIR","VS129","VIR129","129","LHR","EGLL","3","2023-06-06 16:05","TPA","KTPA",590
"AY","FIN","AY842","FIN842","842","LHR","EGLL","5","2023-06-06 14:55","SPU","LDSP",160
"EI","EIN","EI8927","EIN8927","8927","LHR","EGLL","5","2023-06-06 16:10","ATL","KATL",555
"AY","FIN","AY1336","FIN1336","1336","LHR","EGLL","3","2023-06-06 16:10","HEL","EFHK",170
"BA","BAW","BA596","BAW596","596","LHR","EGLL","5","2023-06-06 16:10","VCE","LIPZ",140
"BA","BAW","BA606","BAW606","606","LHR","EGLL","5","2023-06-06 16:10","PSA","LIRP",135
"SN","BEL","SN9097","BEL9097","9097","LHR","EGLL","2","2023-06-06 16:15","LAX","KLAX",665
"SV","SVA","SV122","SVA122","122","LHR","EGLL","4","2023-06-06 16:15","RUH","OERK",405
"LA","LAN","LA5490","LAN5490","5490","LHR","EGLL","5","2023-06-06 16:15","ABZ","EGPD",95
"AA","AAL","AA6580","AAL6580","6580","LHR","EGLL","5","2023-06-06 16:15","NCE","LFMN",125
"LM","LOG","LM656","LOG656","656","LHR","EGLL","2","2023-06-06 16:15","LDY","EGAE",85
"BA","BAW","BA986","BAW986","986","LHR","EGLL","5","2023-06-06 16:05","BER","EDDB",115
"AA","AAL","AA6913","AAL6913","6913","LHR","EGLL","5","2023-06-06 16:20","JFK","KJFK",480
"BA","BAW","BA554","BAW554","554","LHR","EGLL","5","2023-06-06 16:20","FCO","LIRF",160
