"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Canada","Aeropuerto Internacional El Salvador","LAX","2023-06-07 00:05",12,9,"International"
"China Airlines","Taiwan Taoyuan International Airport","LAX","2023-06-07 00:05",20,8,"International"
"Avianca","Taiwan Taoyuan International Airport","LAX","2023-06-07 00:15",20,12,"International"
"Xiamen Airlines","Xiamen Gaoqi International Airport","LAX","2023-06-07 00:15",2,2,"International"
NA,"Benito Juarez International Airport","LAX","2023-06-07 00:17",23,39,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 00:43",24,39,"International"
"EVA Airways","Taiwan Taoyuan International Airport","LAX","2023-06-07 00:50",20,14,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 01:10",24,39,"International"
"Turkish Airlines","Aeropuerto Internacional El Salvador","LAX","2023-06-07 01:00",12,4,"International"
"Malaysia Airlines","Hong Kong International Airport","LAX","2023-06-07 01:15",5,11,"International"
"United Airlines","Tocumen International Airport","LAX","2023-06-07 01:20",10,10,"International"
"United Airlines","Tokyo International Airport","LAX","2023-06-07 01:20",22,10,"International"
"Air Tahiti Nui","Charlotte Douglas International Airport","LAX","2023-06-07 06:00",6,12,"Domestic"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-07 07:00",19,6,"Domestic"
"Korean Air","Benito Juarez International Airport","LAX","2023-06-07 07:00",23,10,"International"
"American Airlines","Phoenix Sky Harbor International Airport","LAX","2023-06-07 07:17",5,69,"Domestic"
"British Airways","Chicago O'Hare International Airport","LAX","2023-06-07 07:45",9,14,"Domestic"
"Hawaiian Airlines","Kahului Airport","LAX","2023-06-07 08:15",4,18,"Domestic"
"American Airlines","Raleigh-Durham International Airport","LAX","2023-06-07 09:00",6,69,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-07 09:20",24,39,"International"
"American Airlines","Licenciado Gustavo Diaz Ordaz International Airport","LAX","2023-06-07 09:25",4,69,"International"
"Delta Air Lines","Licenciado Gustavo Diaz Ordaz International Airport","LAX","2023-06-07 10:00",4,32,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-07 10:00",19,6,"Domestic"
NA,"General Leobardo C. Ruiz International Airport","LAX","2023-06-07 10:23",3,39,"International"
"Alaska Airlines","Tokyo International Airport","LAX","2023-06-07 10:28",22,13,"International"
"Air Premia","Incheon International Airport","LAX","2023-06-07 10:50",23,4,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-06-07 11:00",5,18,"Domestic"
"Qantas Airways","Chicago O'Hare International Airport","LAX","2023-06-07 11:20",9,5,"Domestic"
"Aeromexico","Ben Gurion International Airport","LAX","2023-06-07 11:30",4,23,"International"
"EL AL","Benito Juarez International Airport","LAX","2023-06-07 11:52",23,3,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-07 12:10",23,7,"International"
"EVA Airways","Taiwan Taoyuan International Airport","LAX","2023-06-07 12:15",20,14,"International"
"LATAM Airlines Chile","Incheon International Airport","LAX","2023-06-07 12:30",23,10,"International"
"Singapore Airlines","Daniel K. Inouye International Airport","LAX","2023-06-07 06:30",19,14,"Domestic"
"Westjet","Salt Lake City International Airport","LAX","2023-06-07 07:15",4,6,"Domestic"
"Allegiant Air","Wichita Mid-Continent Airport","LAX","2023-06-07 09:00",1,11,"Domestic"
"Qantas Airways","Phoenix Sky Harbor International Airport","LAX","2023-06-07 09:24",5,5,"Domestic"
"Delta Air Lines","Portland International Airport","LAX","2023-06-07 09:35",2,32,"Domestic"
"Breeze Airways","Theodore Francis Green State Airport","LAX","2023-06-07 12:15",1,6,"Domestic"
"Breeze Airways","Raleigh-Durham International Airport","LAX","2023-06-07 12:40",6,6,"Domestic"
"All Nippon Airways","Narita International Airport","LAX","2023-06-07 12:45",15,10,"International"
"LATAM Airlines Peru","Jorge Chavez International Airport","LAX","2023-06-07 12:50",7,1,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-07 12:50",9,9,"International"
NA,"Benito Juarez International Airport","LAX","2023-06-07 12:57",23,39,"International"
"Alaska Airlines","Narita International Airport","LAX","2023-06-07 13:05",15,13,"International"
"American Airlines","Hong Kong International Airport","LAX","2023-06-07 13:15",5,69,"International"
"Alaska Airlines","Paris Charles de Gaulle Airport","LAX","2023-06-07 13:30",18,13,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-07 13:30",22,69,"International"
NA,"Oaxaca - Xoxocotlan International Airport","LAX","2023-06-07 13:30",3,39,"International"
"SAS","Copenhagen Airport","LAX","2023-06-07 13:50",5,5,"International"
NA,"Aeropuerto Internacional El Salvador","LAX","2023-06-07 13:50",12,2,"International"
"Pakistan International Airlines","Istanbul Airport","LAX","2023-06-07 13:55",9,4,"International"
"Virgin Atlantic","Amsterdam Airport Schiphol","LAX","2023-06-07 13:55",8,18,"International"
"Air India","Narita International Airport","LAX","2023-06-07 14:20",15,1,"International"
"Alaska Airlines","Kansai International Airport","LAX","2023-06-07 14:25",3,13,"International"
"Westjet","Benito Juarez International Airport","LAX","2023-06-07 14:30",23,6,"International"
"Turkish Airlines","La Aurora International Airport","LAX","2023-06-07 14:45",5,4,"International"
"LATAM Airlines Chile","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-07 14:45",9,10,"Domestic"
"Austrian","Frankfurt Airport","LAX","2023-06-07 15:00",7,4,"International"
"ITA Airways","Leonardo da Vinci-Fiumicino Airport","LAX","2023-06-07 15:10",5,3,"International"
"Delta Air Lines","Paris Charles de Gaulle Airport","LAX","2023-06-07 15:25",18,32,"International"
"Korean Air","Incheon International Airport","LAX","2023-06-07 15:25",23,10,"International"
"Delta Air Lines","London Heathrow Airport","LAX","2023-06-07 15:40",38,32,"International"
"Finnair","London Heathrow Airport","LAX","2023-06-07 15:45",38,4,"International"
"Delta Air Lines","Taiwan Taoyuan International Airport","LAX","2023-06-07 16:20",20,32,"International"
"American Airlines","Dallas/Fort Worth International Airport","LAX","2023-06-07 16:30",11,69,"Domestic"
"Malaysia Airlines","Hamad International Airport","LAX","2023-06-07 16:35",7,11,"International"
"LOT - Polish Airlines","Warsaw Chopin Airport","LAX","2023-06-07 16:35",5,5,"International"
"Emirates","Dubai International Airport","LAX","2023-06-07 16:40",5,5,"International"
"Aeromexico","Nashville International Airport","LAX","2023-06-07 16:50",3,23,"Domestic"
"Delta Air Lines","Amsterdam Airport Schiphol","LAX","2023-06-07 16:55",8,32,"International"
"Delta Air Lines","Comodoro Arturo Merino Benitez International Airport","LAX","2023-06-07 17:00",2,32,"International"
"Austrian","Munich International Airport","LAX","2023-06-07 17:10",5,4,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 17:11",24,39,"International"
"United Airlines","Tokyo International Airport","LAX","2023-06-07 17:15",22,10,"International"
"Finnair","London Heathrow Airport","LAX","2023-06-07 17:05",38,4,"International"
"Singapore Airlines","London Heathrow Airport","LAX","2023-06-07 17:55",38,14,"International"
"Qatar Airways","Adolfo Suarez Madrid-Barajas Airport","LAX","2023-06-07 18:00",3,4,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-07 18:00",19,6,"Domestic"
"Japan Airlines","Austin-Bergstrom International Airport","LAX","2023-06-07 18:03",4,5,"Domestic"
"Iberia","London Heathrow Airport","LAX","2023-06-07 18:13",38,6,"International"
"Japan Airlines","San Antonio International Airport","LAX","2023-06-07 18:15",7,5,"Domestic"
"Delta Air Lines","Paris Charles de Gaulle Airport","LAX","2023-06-07 18:20",18,32,"International"
"Allegiant Air","Joe Foss Field","LAX","2023-06-07 14:45",1,11,"Domestic"
"Uzbekistan Airways","Istanbul Airport","LAX","2023-06-07 18:35",9,4,"International"
"Air France","Memphis International Airport","LAX","2023-06-07 18:40",4,23,"Domestic"
"Lufthansa Cargo","Frankfurt Airport","LAX","2023-06-07 18:40",7,5,"International"
"Lufthansa","Frankfurt Airport","LAX","2023-06-07 18:40",7,5,"International"
"American Airlines","Helsinki-Vantaa Airport","LAX","2023-06-07 18:45",2,69,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-07 19:02",23,23,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 19:11",24,39,"International"
"American Airlines","Barcelona-El Prat Airport","LAX","2023-06-07 19:55",3,69,"International"
"British Airways","Dublin Airport","LAX","2023-06-07 20:15",4,14,"International"
"Air France","London Heathrow Airport","LAX","2023-06-07 20:25",38,23,"International"
